name,longitude,latitude
ALICAHUE,-70.89895788199993,-32.41709764099994
ALTOS_DE_TIL_TIL,-70.88875088299994,-33.096953078999945
ANUNUCA_DEL_VERANO,-70.77403713099994,-32.751103211999975
ARIZTIA,-71.27277784099994,-32.31842489899998
Algarrobo,-71.57363974972739,-33.26989813492376
BARCAZAS,-71.49525609599993,-32.77076239099995
CABILDO_SUNLIGHT,-71.10053829899994,-32.45175731099994
CABILSOL,-71.10317730099996,-32.466449575999945
CALLE_LARGA,-70.61154312499997,-32.88314745099996
CANONES_SUNLIGHT,-71.17884175399996,-32.76224826299995
CASUTO,-70.71239823899998,-32.85118772399994
CATAN_SOLAR,-70.60343355199996,-32.72871692899997
CATEMU,-70.96428963599993,-32.73374501099994
CHACABUCO,-70.71008150499995,-32.95361053299996
CLEMENTINA,-70.86337028699995,-33.121377923999944
COLINA,-70.71359847899998,-33.032097464999936
CONCON,-71.48824652299999,-32.928907986999945
CONCON_2,-71.49254640099997,-32.92850746299996
CONDOR_PETORCA,-70.95690316399998,-32.26543908699995
CRUZ_SOLAR,-70.86599156499994,-32.79398618099998
Cabildo,-70.9401972310507,-32.47005160789589
Calera,-71.16183353543308,-32.793998953721506
Calle_Larga,-70.59210253127378,-32.908650687882364
Casablanca,-71.43162770320603,-33.24004620160913
Catemu,-70.93118330251973,-32.73042813778383
Colina,-70.69197457555767,-33.106708149037495
Curacaví,-71.0828557386654,-33.26702818078937
DONA_CARMEN_SOLAR,-71.25404612499995,-32.47888003299994
DONA_JAVIERA,-70.71614272399995,-32.71077359399993
EL_BATO,-71.50793055599996,-32.77131388899994
EL_BOCO,-71.24489356999999,-32.85510111199994
EL_HUASO,-70.98026515599997,-32.764219572999934
EL_INGENIO,-71.14765516399996,-32.492419981999944
EL_LITRE_SOLAR,-70.78190126499999,-33.127944929999956
EL_MANZANO,-70.78833127899998,-33.09987761299993
EL_MOLLE,-71.63581730299995,-33.08824032199993
EL_QUEMADO,-71.01771318599998,-32.43704972799998
ENAMI_SOLAR,-70.96366102099995,-32.76587885199996
ENAP_REFINERIAS_ACONCAGUA,-71.50494293499997,-32.92511947699995
ENCON_SOLAR,-70.74809060299998,-32.72975016799995
ESCORIAL_DEL_VERANO_SOLAR,-70.77848138399997,-32.74004612999994
ESFENA,-70.81010220799993,-32.23694450199997
FILOMENA_SOLAR,-70.61555958999998,-32.70824979599996
FUSTER_DEL_VERANO,-70.91981505499996,-33.26279866599998
GNL_QUINTERO,-71.50806639899997,-32.76694658399998
